lexeme_id	form_i	form_ii	gloss	grammar_status	discussion_order	form_i_attestation_summary	form_ii_attestation_summary	main_contexts_for_form_i	main_contexts_for_form_ii	best_citation_rows	contexts_to_discuss	main_generalization_for_this_pair	caveats	blocked_or_noisy_material	recommended_prose_treatment	include_in_main_table	include_in_pair_by_pair_discussion	notes
hong-hong	hong	hong	come	same_form_questionnaire_control	310	15398 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:12372; negative_clause:2162; quotative_or_say_complement:738. Best examples: Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `hong` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:12372; negative_clause:2162; quotative_or_say_complement:738		Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:9 `hong` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `hong` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; negative_clause; quotative_or_say_complement	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep in the same-form questionnaire control section rather than in the main pair table.	no	yes	Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus. Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *hong-I/*hong-II -> hong/hong. The questionnaire uses the same written form in both slots.
om-om	om	om	exist/stay	same_form_questionnaire_control	320	9 clean verbal exact Bible rows survive after filtering. Main contexts: unknown_or_needs_review:2687; finite_main_or_matrix:1058; negative_clause:942. Best examples: Psalms 46:10 `“Om` [finite_main_or_matrix; needs_analyzer_review]; Ezekiel 47:16 `om)` [finite_main_or_matrix; needs_analyzer_review]; Jeremiah 37:17 `“Om` [negative_clause; needs_analyzer_review].	No current Bible attestation in the audit.	unknown_or_needs_review:2687; finite_main_or_matrix:1058; negative_clause:942		Psalms 46:10 `“Om` [finite_main_or_matrix; needs_analyzer_review]; Ezekiel 47:16 `om)` [finite_main_or_matrix; needs_analyzer_review]; Jeremiah 37:17 `“Om` [negative_clause; needs_analyzer_review]	unknown_or_needs_review; finite_main_or_matrix; negative_clause	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep in the same-form questionnaire control section rather than in the main pair table.	no	yes	Shared Form I base with om-omh. Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus. Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *om-I/*om-II -> om/om. The questionnaire uses the same written form in both slots. Analyzer inventory also maps the same Form I base to om-omh.
ci-ci	ci	ci	say	same_form_questionnaire_control	330	5843 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:5514; negative_clause:131; imperative_or_directive:101. Best examples: Zephaniah 3:7 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:5514; negative_clause:131; imperative_or_directive:101		Zephaniah 3:7 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:20 `ci` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; negative_clause; imperative_or_directive	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep in the same-form questionnaire control section rather than in the main pair table.	no	yes	Shared Form I base with ci-cih. Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus. Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *ci-I/*ci-II -> ci/ci. The questionnaire uses the same written form in both slots. Analyzer inventory also maps the same Form I base to ci-cih.
hi-hi	hi	hi	be	same_form_questionnaire_control	340	No clean verbal exact rows survive yet. Current Bible hits cluster in finite_main_or_matrix:33883; quotative_or_say_complement:7830; negative_clause:5204. Current best rows: Zephaniah 3:9 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:33883; quotative_or_say_complement:7830; negative_clause:5204		Zephaniah 3:9 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; quotative_or_say_complement; negative_clause	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep in the same-form questionnaire control section rather than in the main pair table.	no	yes	Shared Form I base with hi-hih. Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus. Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *hi-I/*hi-II -> hi/hi. The questionnaire uses the same written form in both slots. Analyzer inventory also maps the same Form I base to hi-hih.
bawl-bawl	bawl	bawl	make/do	same_form_questionnaire_control	350	1540 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:1269; negative_clause:112; imperative_or_directive:63. Best examples: Zechariah 9:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:2 `bawl` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:1269; negative_clause:112; imperative_or_directive:63		Zechariah 9:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:3 `bawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 12:2 `bawl` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; negative_clause; imperative_or_directive	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep in the same-form questionnaire control section rather than in the main pair table.	no	yes	Shared Form I base with bawl-bawlh. Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus. Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *bawl-I/*bawl-II -> bawl/bawl. The questionnaire uses the same written form in both slots. Analyzer inventory also maps the same Form I base to bawl-bawlh.
zui-zui	zui	zui	follow	same_form_questionnaire_control	360	486 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:331; negative_clause:107; imperative_or_directive:35. Best examples: Zechariah 8:8 `zui` [finite_main_or_matrix; needs_analyzer_review]; Ruth 1:11 `zui` [finite_main_or_matrix; needs_analyzer_review]; Romans 7:25 `zui` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:331; negative_clause:107; imperative_or_directive:35		Zechariah 8:8 `zui` [finite_main_or_matrix; needs_analyzer_review]; Ruth 1:11 `zui` [finite_main_or_matrix; needs_analyzer_review]; Romans 7:25 `zui` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; negative_clause; imperative_or_directive	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep in the same-form questionnaire control section rather than in the main pair table.	no	yes	Shared Form I base with zui-zuih. Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus. Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *zui-I/*zui-II -> zui/zui. The questionnaire uses the same written form in both slots. Analyzer inventory also maps the same Form I base to zui-zuih.
pai-pai	pai	pai	go	same_form_questionnaire_control	370	2371 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:1824; imperative_or_directive:190; negative_clause:162. Best examples: Zephaniah 1:6 `pai` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 9:9 `pai` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 9:9 `pai` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:1824; imperative_or_directive:190; negative_clause:162		Zephaniah 1:6 `pai` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 9:9 `pai` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 9:9 `pai` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; imperative_or_directive; negative_clause	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep in the same-form questionnaire control section rather than in the main pair table.	no	yes	Shared Form I base with pai-paih. Questionnaire keeps the same written form in both slots, so this row is treated as Form I only for Bible-attestation purposes. Only one stem side is currently attested cleanly in the Bible corpus. Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *pai-I/*pai-II -> pai/pai. The questionnaire uses the same written form in both slots. Analyzer inventory also maps the same Form I base to pai-paih. `source_zam_ngaih_cing=yes` means the in-repo literature review aligns this pair directly to Zam Ngaih Cing; it does not claim an exhaustive extracted Stem 1/2 list.
keu-keuh	keu	keuh	dig	rejected_nonverbal_or_noise	500	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:89; finite_main_or_matrix:44; causative_or_derivational_sak:15. Current best rows: Psalms 90:6 `keu` [finite_main_or_matrix; needs_analyzer_review]; Matthew 13:6 `keu` [finite_main_or_matrix; needs_analyzer_review]; Jonah 4:7 `keu` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in finite_main_or_matrix:5; causative_or_derivational_sak:1; negative_clause:1. Current best rows: Isaiah 34:15 `keuh` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 5:13 `kiuhkeuh` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 5:12 `kiuhkeuh` [finite_main_or_matrix; needs_analyzer_review].	unknown_or_needs_review:89; finite_main_or_matrix:44; causative_or_derivational_sak:15	finite_main_or_matrix:5; causative_or_derivational_sak:1; negative_clause:1	Exodus 14:16 form_i `keu` [reject_for_print; reject]	unknown_or_needs_review; finite_main_or_matrix; causative_or_derivational_sak; negative_clause	This is the kind of analyzer pair the manual review is meant to keep out of the verb-stem alternation grammar.	current Bible hits are nominal rather than verbal on both sides This is not a clean verbal citation.	Blocked noisy material includes keusak, keutumsak, keuhsak, keusakin.	Use only in the rejected or noise section to explain why the pair stays blocked.	no	yes	
khai-khaih	khai	khaih	hold	rejected_nonverbal_or_noise	510	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:94; finite_main_or_matrix:85; nominalized_na:35. Current best rows: Psalms 74:4 `khai` [finite_main_or_matrix; needs_analyzer_review]; Psalms 137:2 `khai` [finite_main_or_matrix; needs_analyzer_review]; Numbers 21:9 `khai` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:2. Current best rows: Proverbs 9:2 `khaih` [unknown_or_needs_review; needs_analyzer_review]; Matthew 23:24 `khaih` [unknown_or_needs_review; needs_analyzer_review].	unknown_or_needs_review:94; finite_main_or_matrix:85; nominalized_na:35	unknown_or_needs_review:2	Proverbs 9:2 form_ii `khaih` [reject_for_print; reject]	unknown_or_needs_review; finite_main_or_matrix; nominalized_na	Current evidence is too noisy or too weakly verbal for promotion.	no clean form i verb example No clean Form I verbal evidence has been isolated.	Blocked noisy material includes khaisak, kikhailupsak.	Use only in the rejected or noise section to explain why the pair stays blocked.	no	yes	
sia-siah	sia	siah	decay	rejected_nonverbal_or_noise	520	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:483; finite_main_or_matrix:422; negative_clause:72. Current best rows: Psalms 53:1 `sia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 49:14 `sia` [finite_main_or_matrix; needs_analyzer_review]; Psalms 14:1 `sia` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:110; finite_main_or_matrix:28; nominalized_na:14. Current best rows: Psalms 57:6 `siah` [finite_main_or_matrix; needs_analyzer_review]; Psalms 119:110 `siah` [finite_main_or_matrix; needs_analyzer_review]; Proverbs 1:18 `siah` [finite_main_or_matrix; needs_analyzer_review].	unknown_or_needs_review:483; finite_main_or_matrix:422; negative_clause:72	unknown_or_needs_review:110; finite_main_or_matrix:28; nominalized_na:14	1 Chronicles 18:2 form_ii `siah` [reject_for_print; reject]	unknown_or_needs_review; finite_main_or_matrix; negative_clause; nominalized_na	Current evidence is too noisy or too weakly verbal for promotion.	no clean form i verb example The pair still lacks a clean verbal Form I side.	Blocked noisy material includes siasak, minsiasak, siasakin, siasakte.	Use only in the rejected or noise section to explain why the pair stays blocked.	no	yes	
tan-tanh	tan	tanh	spread	rejected_nonverbal_or_noise	530	No clean verbal exact rows survive yet. Current Bible hits cluster in finite_main_or_matrix:83; unknown_or_needs_review:29; causative_or_derivational_sak:13. Current best rows: Matthew 6:17 `tan` [finite_main_or_matrix; needs_analyzer_review]; Matthew 6:16 `tan` [finite_main_or_matrix; needs_analyzer_review]; Joel 1:14 `tan` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:45; finite_main_or_matrix:24; negative_clause:8. Current best rows: Song of Solomon 8:12 `tanh` [finite_main_or_matrix; needs_analyzer_review]; Ruth 4:4 `tanh` [finite_main_or_matrix; needs_analyzer_review]; Numbers 18:8 `tanh` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:83; unknown_or_needs_review:29; causative_or_derivational_sak:13	unknown_or_needs_review:45; finite_main_or_matrix:24; negative_clause:8	Matthew 6:17 form_i `tan` [reject_for_print; reject]	finite_main_or_matrix; unknown_or_needs_review; causative_or_derivational_sak; negative_clause	Current evidence is too noisy or too weakly verbal for promotion.	no clean form i verb example Current rows are not lexically secure verbal evidence.	Blocked noisy material includes suktansak, ngaptansak, kitansak, tansak.	Use only in the rejected or noise section to explain why the pair stays blocked.	no	yes	
mual-mualh	mual	mualh	mountain	rejected_nonverbal_or_noise	540	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:736; finite_main_or_matrix:103; negative_clause:12. Current best rows: Ezekiel 43:9 `mual` [finite_main_or_matrix; needs_analyzer_review]; Psalms 89:12 `mual` [imperative_or_directive; needs_analyzer_review]; Song of Solomon 4:8 `Mual` [negative_clause; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in quotative_or_say_complement:1. Current best rows: Leviticus 13:56 `mualh` [quotative_or_say_complement; needs_analyzer_review].	unknown_or_needs_review:736; finite_main_or_matrix:103; negative_clause:12	quotative_or_say_complement:1	Ezekiel 43:9 `mual` [finite_main_or_matrix; needs_analyzer_review]; Psalms 89:12 `mual` [imperative_or_directive; needs_analyzer_review]; Song of Solomon 4:8 `Mual` [negative_clause; needs_analyzer_review] Leviticus 13:56 `mualh` [quotative_or_say_complement; needs_analyzer_review]	unknown_or_needs_review; finite_main_or_matrix; negative_clause; quotative_or_say_complement	Current Bible hits do not support this as a genuine lexical stem-alternation verb.	nominal or compound examples only		Use only in the rejected or noise section to explain why the pair stays blocked.	no	yes	
sum-sumh	sum	sumh	money	rejected_nonverbal_or_noise	550	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:395; finite_main_or_matrix:180; nominalized_na:24. Current best rows: Matthew 6:19 `sum` [finite_main_or_matrix; needs_analyzer_review]; Luke 16:9 `sum` [finite_main_or_matrix; needs_analyzer_review]; Luke 12:34 `sum` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:1. Current best rows: Exodus 21:21 `sumh` [unknown_or_needs_review; needs_analyzer_review].	unknown_or_needs_review:395; finite_main_or_matrix:180; nominalized_na:24	unknown_or_needs_review:1	Matthew 6:19 `sum` [finite_main_or_matrix; needs_analyzer_review]; Luke 16:9 `sum` [finite_main_or_matrix; needs_analyzer_review]; Luke 12:34 `sum` [finite_main_or_matrix; needs_analyzer_review] Exodus 21:21 `sumh` [unknown_or_needs_review; needs_analyzer_review]	unknown_or_needs_review; finite_main_or_matrix; nominalized_na	Current Bible hits do not support this as a genuine lexical stem-alternation verb.	nominal or compound examples only		Use only in the rejected or noise section to explain why the pair stays blocked.	no	yes	
thu-thuh	thu	thuh	word	rejected_nonverbal_or_noise	560	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:8128; finite_main_or_matrix:900; negative_clause:634. Current best rows: Titus 3:9 `thu` [finite_main_or_matrix; needs_analyzer_review]; Romans 1:8 `thu` [finite_main_or_matrix; needs_analyzer_review]; Psalms 74:9 `thu` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in nominalized_na:8; finite_main_or_matrix:4; unknown_or_needs_review:3. Current best rows: Esther 8:8 `thuh` [imperative_or_directive; needs_analyzer_review]; Galatians 3:15 `thuhkhit` [finite_main_or_matrix; needs_analyzer_review]; Esther 8:8 `kithuh` [finite_main_or_matrix; needs_analyzer_review].	unknown_or_needs_review:8128; finite_main_or_matrix:900; negative_clause:634	nominalized_na:8; finite_main_or_matrix:4; unknown_or_needs_review:3	Titus 3:9 `thu` [finite_main_or_matrix; needs_analyzer_review]; Romans 1:8 `thu` [finite_main_or_matrix; needs_analyzer_review]; Psalms 74:9 `thu` [finite_main_or_matrix; needs_analyzer_review] Esther 8:8 `thuh` [imperative_or_directive; needs_analyzer_review]; Galatians 3:15 `thuhkhit` [finite_main_or_matrix; needs_analyzer_review]; Esther 8:8 `kithuh` [finite_main_or_matrix; needs_analyzer_review]	unknown_or_needs_review; finite_main_or_matrix; negative_clause; nominalized_na	Current Bible hits do not support this as a genuine lexical stem-alternation verb.	nominal or compound examples only	Blocked noisy material includes thuksak, thumangsak.	Use only in the rejected or noise section to explain why the pair stays blocked.	no	yes	
lampi-lampih	lampi	lampih	way	rejected_nonverbal_or_noise	570	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:254; finite_main_or_matrix:77; negative_clause:25. Current best rows: Psalms 35:6 `lampi` [finite_main_or_matrix; needs_analyzer_review]; Proverbs 6:23 `lampi` [finite_main_or_matrix; needs_analyzer_review]; Proverbs 21:5 `lampi` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in negative_clause:1. Current best rows: Psalms 127:1 `lampih` [negative_clause; needs_analyzer_review].	unknown_or_needs_review:254; finite_main_or_matrix:77; negative_clause:25	negative_clause:1	Psalms 35:6 `lampi` [finite_main_or_matrix; needs_analyzer_review]; Proverbs 6:23 `lampi` [finite_main_or_matrix; needs_analyzer_review]; Proverbs 21:5 `lampi` [finite_main_or_matrix; needs_analyzer_review] Psalms 127:1 `lampih` [negative_clause; needs_analyzer_review]	unknown_or_needs_review; finite_main_or_matrix; negative_clause	Current Bible hits do not support this as a genuine lexical stem-alternation verb.	nominal or compound examples only		Use only in the rejected or noise section to explain why the pair stays blocked.	no	yes	
khua-khuat	khua	khuat	town	rejected_nonverbal_or_noise	580	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:2810; finite_main_or_matrix:653; negative_clause:60. Current best rows: Jeremiah 51:49 `khua` [imperative_or_directive; needs_analyzer_review]; Jeremiah 51:35 `khua` [imperative_or_directive; needs_analyzer_review]; Isaiah 15:9 `khua` [imperative_or_directive; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in finite_main_or_matrix:2; unknown_or_needs_review:1. Current best rows: Job 39:21 `khuat` [finite_main_or_matrix; needs_analyzer_review]; Jeremiah 13:7 `khuat` [unknown_or_needs_review; needs_analyzer_review]; Genesis 50:5 `khuatsa` [finite_main_or_matrix; needs_analyzer_review].	unknown_or_needs_review:2810; finite_main_or_matrix:653; negative_clause:60	finite_main_or_matrix:2; unknown_or_needs_review:1	Jeremiah 51:49 `khua` [imperative_or_directive; needs_analyzer_review]; Jeremiah 51:35 `khua` [imperative_or_directive; needs_analyzer_review]; Isaiah 15:9 `khua` [imperative_or_directive; needs_analyzer_review] Job 39:21 `khuat` [finite_main_or_matrix; needs_analyzer_review]; Jeremiah 13:7 `khuat` [unknown_or_needs_review; needs_analyzer_review]; Genesis 50:5 `khuatsa` [finite_main_or_matrix; needs_analyzer_review]	unknown_or_needs_review; finite_main_or_matrix; negative_clause	Current Bible hits do not support this as a genuine lexical stem-alternation verb.	nominal or compound examples only		Use only in the rejected or noise section to explain why the pair stays blocked.	no	yes	
gamla-gamlat	gamla	gamlat	wilderness	rejected_nonverbal_or_noise	590	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:57; negative_clause:14; finite_main_or_matrix:9. Current best rows: Judges 18:28 `gamla` [finite_main_or_matrix; needs_analyzer_review]; Psalms 71:12 `gamla` [negative_clause; needs_analyzer_review]; Psalms 22:19 `gamla` [negative_clause; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:1. Current best rows: Psalms 103:12 `gamlat` [unknown_or_needs_review; needs_analyzer_review].	unknown_or_needs_review:57; negative_clause:14; finite_main_or_matrix:9	unknown_or_needs_review:1	Judges 18:28 `gamla` [finite_main_or_matrix; needs_analyzer_review]; Psalms 71:12 `gamla` [negative_clause; needs_analyzer_review]; Psalms 22:19 `gamla` [negative_clause; needs_analyzer_review] Psalms 103:12 `gamlat` [unknown_or_needs_review; needs_analyzer_review]	unknown_or_needs_review; negative_clause; finite_main_or_matrix	Current Bible hits do not support this as a genuine lexical stem-alternation verb.	nominal or compound examples only	Blocked noisy material includes kigamlasak.	Use only in the rejected or noise section to explain why the pair stays blocked.	no	yes	
honkhia-honkhiat	honkhia	honkhiat	bring.out	difficult_but_real_pair	600	No clean verbal exact rows survive yet. Current Bible hits cluster in compound_or_lexicalized:363. Current best rows: Zephaniah 1:18 `honkhia` [compound_or_lexicalized; exclude_for_now]; Zechariah 9:16 `honkhia` [compound_or_lexicalized; exclude_for_now]; Zechariah 8:7 `honkhia` [compound_or_lexicalized; exclude_for_now].	No clean verbal exact rows survive yet. Current Bible hits cluster in compound_or_lexicalized:1. Current best rows: Revelation 6:1 `honkhiat` [compound_or_lexicalized; exclude_for_now].	compound_or_lexicalized:363	compound_or_lexicalized:1	Zephaniah 1:18 `honkhia` [compound_or_lexicalized; exclude_for_now]; Zechariah 9:16 `honkhia` [compound_or_lexicalized; exclude_for_now]; Zechariah 8:7 `honkhia` [compound_or_lexicalized; exclude_for_now] Revelation 6:1 `honkhiat` [compound_or_lexicalized; exclude_for_now]	compound_or_lexicalized	honkhia ~ honkhiat remains grammatically important, but the surviving evidence still needs caveated handling.	category mismatch	Current evidence behaves as lexicalized or category-mixed rather than as a clean pedagogical stem pair. Blocked noisy material includes honkhia, kihonkhia, kihonkhiazo, kihonkhia-in.	Discuss in the difficult-but-real section, emphasizing why the pair matters without treating it as routine evidence.	no	yes	Current Bible evidence is limited to noisy, lexicalized, or heavily derived material. This pair is discussed in current project review materials.
hu-huh	hu	huh	help	difficult_but_real_pair	610	No clean verbal exact rows survive yet. Current Bible hits cluster in compound_or_lexicalized:164. Current best rows: Zechariah 9:8 `hu` [compound_or_lexicalized; exclude_for_now]; Zechariah 9:15 `hu` [compound_or_lexicalized; exclude_for_now]; Zechariah 2:5 `hu` [compound_or_lexicalized; exclude_for_now].	No clean verbal exact rows survive yet. Current Bible hits cluster in compound_or_lexicalized:464. Current best rows: Zephaniah 3:12 `huhna` [compound_or_lexicalized; exclude_for_now]; Zechariah 8:2 `huh` [compound_or_lexicalized; exclude_for_now]; Zechariah 6:15 `huh` [compound_or_lexicalized; exclude_for_now].	compound_or_lexicalized:164	compound_or_lexicalized:464	Zechariah 9:8 `hu` [compound_or_lexicalized; exclude_for_now]; Zechariah 9:15 `hu` [compound_or_lexicalized; exclude_for_now]; Zechariah 2:5 `hu` [compound_or_lexicalized; exclude_for_now] Zephaniah 3:12 `huhna` [compound_or_lexicalized; exclude_for_now]; Zechariah 8:2 `huh` [compound_or_lexicalized; exclude_for_now]; Zechariah 6:15 `huh` [compound_or_lexicalized; exclude_for_now]	compound_or_lexicalized	hu ~ huh remains grammatically important, but the surviving evidence still needs caveated handling.	category mismatch	Current evidence behaves as lexicalized or category-mixed rather than as a clean pedagogical stem pair. Blocked noisy material includes huh, hu, huhna, huhin.	Discuss in the difficult-but-real section, emphasizing why the pair matters without treating it as routine evidence.	no	yes	Current Bible evidence is limited to noisy, lexicalized, or heavily derived material. Questionnaire evidence comes from the in-repo Zakaria/VSA materials; no separate Karius/Kariuss/Karias questionnaire file is present. *huh-I/*huh-II -> hu/huh. Present in the publication-review packet, but absent from VERB_STEM_PAIRS. This pair is discussed in current project review materials.
mu-muk	mu	muk	see	difficult_but_real_pair	620	No clean verbal exact rows survive yet. Current Bible hits cluster in finite_main_or_matrix:2.	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:26; finite_main_or_matrix:7; imperative_or_directive:1. Current best rows: Psalms 59:7 `muk` [finite_main_or_matrix; needs_analyzer_review]; Psalms 59:12 `muk` [finite_main_or_matrix; needs_analyzer_review]; Psalms 50:16 `muk` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:2	unknown_or_needs_review:26; finite_main_or_matrix:7; imperative_or_directive:1	Psalms 59:7 `muk` [finite_main_or_matrix; needs_analyzer_review]; Psalms 59:12 `muk` [finite_main_or_matrix; needs_analyzer_review]; Psalms 50:16 `muk` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; unknown_or_needs_review; imperative_or_directive	mu ~ muk remains grammatically important, but the surviving evidence still needs caveated handling.	analyzer pair only		Discuss in the difficult-but-real section, emphasizing why the pair matters without treating it as routine evidence.	no	yes	Shared Form I base with mu-muh. Both forms are attested, but at least one side is clearest in dependent, nominalized, or otherwise non-bare environments.
